active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,moderate_activity_minutes,timestamp,timestamp16
,,,,,,,77,,2025-11-23T14:04:00.000Z,51280
228,1.1098283837452551e-38,,38,8.451231038342972e-42,,,,,2025-11-23T14:04:00.000Z,51280
,,,,,,,87,,2025-11-23T14:05:00.000Z,51340
,,,,,,,86,,2025-11-23T14:06:00.000Z,51400
,,,,,,,89,,2025-11-23T14:07:00.000Z,51460
,,,,,,,85,,2025-11-23T14:08:00.000Z,51520
230,1.1434595468890507e-38,,70,8.626393346383574e-42,,,,,2025-11-23T14:08:00.000Z,51520
,,,,,,,80,,2025-11-23T14:09:00.000Z,51580
,,,104,,,,,,2025-11-23T14:09:00.000Z,
,,,,,,,79,,2025-11-23T14:10:00.000Z,51640
,,,,,,,84,,2025-11-23T14:12:00.000Z,51760
,,,,,,,86,,2025-11-23T14:14:00.000Z,51880
,,,,,,,83,,2025-11-23T14:15:00.000Z,51940
235,1.1939062916047441e-38,,70,8.781937475923629e-42,,,,,2025-11-23T14:15:00.000Z,51940
,,,,,,,92,,2025-11-23T14:16:00.000Z,52000
,,,,,,,83,,2025-11-23T14:17:00.000Z,52060
,,,,,,,80,,2025-11-23T14:18:00.000Z,52120
,,,,,,,79,,2025-11-23T14:19:00.000Z,52180
,,,72,,,,,,2025-11-23T14:19:00.000Z,
,,,,,,,78,,2025-11-23T14:20:00.000Z,52240
,,,,,,,85,,2025-11-23T14:21:00.000Z,52300
237,1.210721873176642e-38,,70,8.868817980711767e-42,,,,,2025-11-23T14:21:00.000Z,52300
,,,,,,,91,,2025-11-23T14:22:00.000Z,52360
,,,104,,,,,,2025-11-23T14:22:00.000Z,
,,,,,,,89,,2025-11-23T14:23:00.000Z,52420
,,,,,,,86,,2025-11-23T14:24:00.000Z,52480
238,1.2275374547485398e-38,,70,8.940284202392333e-42,,,,,2025-11-23T14:24:00.000Z,52480
,,,,,,,92,,2025-11-23T14:25:00.000Z,52540
,,,,,,,83,,2025-11-23T14:26:00.000Z,52600
,,,136,,,,,,2025-11-23T14:26:00.000Z,
,,,,,,,86,,2025-11-23T14:27:00.000Z,52660
,,,,,,,78,,2025-11-23T14:28:00.000Z,52720
239,1.2443530363204376e-38,,70,9.028566005644796e-42,,,,,2025-11-23T14:28:00.000Z,52720
,,,,,,,82,,2025-11-23T14:29:00.000Z,52780
,,,136,,,,,,2025-11-23T14:29:00.000Z,
,,,,,,,78,,2025-11-23T14:30:00.000Z,52840
240,1.2527608271063865e-38,,70,9.125255599683209e-42,,,,,2025-11-23T14:30:00.000Z,52840
,,,,,,,87,,2025-11-23T14:31:00.000Z,52900
,,,,,,,99,,2025-11-23T14:32:00.000Z,52960
,,,,,,,82,,2025-11-23T14:33:00.000Z,53020
,,,,,,,85,,2025-11-23T14:34:00.000Z,53080
245,1.286391990250182e-38,,70,9.367680234011402e-42,,,,,2025-11-23T14:34:00.000Z,53080
,,,,,,,95,,2025-11-23T14:35:00.000Z,53140
,,,168,,,,,,2025-11-23T14:35:00.000Z,
,,,,,,,98,,2025-11-23T14:36:00.000Z,53200
,,,,,,,79,,2025-11-23T14:37:00.000Z,53260
,,,,,,,88,,2025-11-23T14:38:00.000Z,53320
252,1.3116153626080288e-38,,102,9.632525643768793e-42,,,,,2025-11-23T14:38:00.000Z,53320
,,,,,,,93,,2025-11-23T14:39:00.000Z,53380
,,,200,,,,,,2025-11-23T14:39:00.000Z,
,,,,,,,90,,2025-11-23T14:40:00.000Z,53440
,,,,,,,99,,2025-11-23T14:41:00.000Z,53500
,,,,,,,100,,2025-11-23T14:42:00.000Z,53560
260,1.3368387349658755e-38,,102,9.92259442588403e-42,,,,,2025-11-23T14:42:00.000Z,53560
12,3.363116314379561e-40,,129,2.704506036146897e-43,,,,,2025-11-23T14:43:00.000Z,53620
,,,,,,,108,,2025-11-23T14:44:00.000Z,53680
28,1.2611686178923354e-39,,192,0,,,,,2025-11-23T14:45:00.000Z,53740
,,,,,,,104,,2025-11-23T14:46:00.000Z,53800
,,,,,,,100,,2025-11-23T14:47:00.000Z,53860
,,,,,,,101,,2025-11-23T14:48:00.000Z,53920
267,1.3620621073237222e-38,,134,1.0094954136995982e-41,,,,,2025-11-23T14:48:00.000Z,53920
,,,,,,,112,,2025-11-23T14:49:00.000Z,53980
30,1.3452465257518244e-39,,192,0,,,,,2025-11-23T14:49:00.000Z,53980
,,,,,,,110,,2025-11-23T14:50:00.000Z,54040
13,4.203895392974451e-40,,129,3.3210773604498165e-43,,,,,2025-11-23T14:50:00.000Z,54040
,,,,,,,95,,2025-11-23T14:51:00.000Z,54100
270,1.370469898109671e-38,,134,1.0165019060212223e-41,,,,,2025-11-23T14:51:00.000Z,54100
,,,,,,,99,,2025-11-23T14:52:00.000Z,54160
17,5.0446744715693415e-40,,129,4.918557609780108e-43,,,,,2025-11-23T14:52:00.000Z,54160
,,,,,,,108,,2025-11-23T14:53:00.000Z,54220
,,,,,,,111,,2025-11-23T14:54:00.000Z,54280
,,,,,,,99,,2025-11-23T14:55:00.000Z,54340
277,1.3956932704675178e-38,,102,1.0242090475750088e-41,,,,,2025-11-23T14:55:00.000Z,54340
,,,,,,,94,,2025-11-23T14:56:00.000Z,54400
,,,168,,,,,,2025-11-23T14:56:00.000Z,
,,,,,,,99,,2025-11-23T14:57:00.000Z,54460
19,5.885453550164232e-40,,161,6.05360936588321e-43,,,,,2025-11-23T14:57:00.000Z,54460
,,,,,,,107,,2025-11-23T14:58:00.000Z,54520
,,,,,,,106,,2025-11-23T14:59:00.000Z,54580
,,,,,,,109,,2025-11-23T15:00:00.000Z,54640
284,1.4209166428253645e-38,,102,1.037941772525392e-41,,,,,2025-11-23T15:00:00.000Z,54640
,,,,,,,116,,2025-11-23T15:01:00.000Z,54700
,,,,,,,117,,2025-11-23T15:02:00.000Z,54760
37,1.5134023414708024e-39,,192,0,,,,,2025-11-23T15:02:00.000Z,54760
,,,,,,,119,,2025-11-23T15:04:00.000Z,54880
292,1.4377322243972623e-38,,102,1.0429864469969613e-41,,,,,2025-11-23T15:04:00.000Z,54880
,,,,,,,123,,2025-11-23T15:05:00.000Z,54940
40,1.5974802493302915e-39,,160,0,,,,,2025-11-23T15:05:00.000Z,54940
,,,,,,,119,,2025-11-23T15:06:00.000Z,55000
,,,,,,,109,,2025-11-23T15:07:00.000Z,55060
294,1.45454780596916e-38,,70,1.0474706020828008e-41,,,,,2025-11-23T15:07:00.000Z,55060
,,,,,,,103,,2025-11-23T15:08:00.000Z,55120
,,,,,,,104,,2025-11-23T15:09:00.000Z,55180
,,,,,,,105,,2025-11-23T15:10:00.000Z,55240
46,1.8497139729087585e-39,,160,0,,,,,2025-11-23T15:10:00.000Z,55240
301,1.471363387541058e-38,,102,1.0605026778010216e-41,,,,,2025-11-23T15:12:00.000Z,55360
,,,,,,,117,,2025-11-23T15:13:00.000Z,55420
48,1.9337918807682476e-39,,192,0,,,,,2025-11-23T15:13:00.000Z,55420
