active_calories,active_time,activity_type,current_activity_type_intensity,cycles,distance,duration_min,heart_rate,timestamp,timestamp16,vigorous_activity_inutes
199,6.957446875372717e-39,,70,4.412688864158849e-42,,,,2025-11-08T20:00:00.000Z,21824,
,,,,,,,111,2025-11-08T20:01:00.000Z,21884,
,,,,,,,109,2025-11-08T20:02:00.000Z,21944,
204,7.125602691091695e-39,,70,4.4701421011961665e-42,,,,2025-11-08T20:02:00.000Z,21944,
,,,,,,,104,2025-11-08T20:03:00.000Z,22004,
,,,,,,,103,2025-11-08T20:04:00.000Z,22064,
,,,,,,,101,2025-11-08T20:05:00.000Z,22124,
95,3.0898631138362216e-39,,128,0,,,,2025-11-08T20:05:00.000Z,22124,
,,,,,,,107,2025-11-08T20:06:00.000Z,22184,
,,,,,,,113,2025-11-08T20:07:00.000Z,22244,
,,,,,,,106,2025-11-08T20:08:00.000Z,22304,
,,,,,,,101,2025-11-08T20:09:00.000Z,22364,
,,,,,,,106,2025-11-08T20:10:00.000Z,22424,
213,7.54599223038914e-39,,38,4.6999550493454365e-42,,,,2025-11-08T20:10:00.000Z,22424,
,,,,,,,103,2025-11-08T20:11:00.000Z,22484,
,,,,,,,110,2025-11-08T20:12:00.000Z,22544,
,,,,,,,101,2025-11-08T20:13:00.000Z,22604,
99,3.342096837414689e-39,,160,0,,,,2025-11-08T20:13:00.000Z,22604,
,,,,,,,100,2025-11-08T20:14:00.000Z,22664,
215,7.630070138248629e-39,,70,4.7153693324530094e-42,,,,2025-11-08T20:14:00.000Z,22664,
,,,168,,,,,2025-11-08T20:15:00.000Z,,
,,,,,,,103,2025-11-08T20:16:00.000Z,22784,
101,3.426174745274178e-39,,160,0,,,,2025-11-08T20:16:00.000Z,22784,
,,,,,,,109,2025-11-08T20:17:00.000Z,22844,
219,7.714148046108118e-39,,38,4.734987510953557e-42,,,,2025-11-08T20:17:00.000Z,22844,
,,,,,,,113,2025-11-08T20:18:00.000Z,22904,
,,,,,,,109,2025-11-08T20:19:00.000Z,22964,
104,3.594330560993156e-39,,160,0,,,,2025-11-08T20:19:00.000Z,22964,
,,,,,,,93,2025-11-08T20:20:00.000Z,23024,
,,,,,,,90,2025-11-08T20:21:00.000Z,23084,
,,,,,,,92,2025-11-08T20:23:00.000Z,23204,
,,,104,,,,,2025-11-08T20:23:00.000Z,,
,,,,,,,90,2025-11-08T20:24:00.000Z,23264,
,,,8,,,,,2025-11-08T20:24:00.000Z,,
,,,,,,,92,2025-11-08T20:25:00.000Z,23324,
,,,,,,,91,2025-11-08T20:27:00.000Z,23444,
,,,,,,,92,2025-11-08T20:30:00.000Z,23624,
,,,,,,,90,2025-11-08T20:31:00.000Z,23684,
,,,,,,,92,2025-11-08T20:32:00.000Z,23744,
,,,,,,,88,2025-11-08T20:33:00.000Z,23804,
,,,,,,,91,2025-11-08T20:34:00.000Z,23864,
,,,,,,,89,2025-11-08T20:35:00.000Z,23924,
,,,,,,,93,2025-11-08T20:36:00.000Z,23984,
,,,,,,,91,2025-11-08T20:37:00.000Z,24044,
,,,,,,,90,2025-11-08T20:39:00.000Z,24164,
,,,104,,,,,2025-11-08T20:39:00.000Z,,
,,,,,,,89,2025-11-08T20:40:00.000Z,24224,
,,,8,,,,,2025-11-08T20:40:00.000Z,,
,,,,,,,90,2025-11-08T20:41:00.000Z,24284,
,,,,,,,94,2025-11-08T20:42:00.000Z,24344,
,,,,,,,91,2025-11-08T20:43:00.000Z,24404,
,,,,,,,89,2025-11-08T20:44:00.000Z,24464,
,,,,,,,88,2025-11-08T20:45:00.000Z,24524,
,,,,,,,89,2025-11-08T20:46:00.000Z,24584,
,,,,,,,87,2025-11-08T20:48:00.000Z,24704,
,,,,,,,88,2025-11-08T20:49:00.000Z,24764,
,,,,,,,92,2025-11-08T20:50:00.000Z,24824,
,,,,,,,93,2025-11-08T20:51:00.000Z,24884,
,,,,,,,90,2025-11-08T20:52:00.000Z,24944,
,,,104,,,,,2025-11-08T20:52:00.000Z,,
,,,,,,,86,2025-11-08T20:53:00.000Z,25004,
,,,8,,,,,2025-11-08T20:53:00.000Z,,
,,,,,,,87,2025-11-08T20:55:00.000Z,25124,
,,,,,,,90,2025-11-08T20:56:00.000Z,25184,
,,,104,,,,,2025-11-08T20:57:00.000Z,,
,,,,,,,89,2025-11-08T20:58:00.000Z,25304,
,,,8,,,,,2025-11-08T20:58:00.000Z,,
,,,,,,,90,2025-11-08T20:59:00.000Z,25364,
,,,,,,,91,2025-11-08T21:00:00.000Z,25424,
,,,,,,,95,2025-11-08T21:01:00.000Z,25484,
,,,136,,,,,2025-11-08T21:01:00.000Z,,
,,,,,,,88,2025-11-08T21:02:00.000Z,25544,
,,,8,,,,,2025-11-08T21:02:00.000Z,,
,,,,,,,87,2025-11-08T21:03:00.000Z,25604,
,,,,,,,91,2025-11-08T21:04:00.000Z,25664,
,,,72,,,,,2025-11-08T21:05:00.000Z,,
,,,,,,,94,2025-11-08T21:06:00.000Z,25784,
,,,,,,,95,2025-11-08T21:07:00.000Z,25844,
,,,,,,,92,2025-11-08T21:08:00.000Z,25904,
,,,,,,,89,2025-11-08T21:09:00.000Z,25964,
,,,,,,,96,2025-11-08T21:10:00.000Z,26024,
,,,,,,,89,2025-11-08T21:11:00.000Z,26084,
,,,104,,,,,2025-11-08T21:11:00.000Z,,
,,,,,,,90,2025-11-08T21:12:00.000Z,26144,
,,,,,,,91,2025-11-08T21:13:00.000Z,26204,
,,,8,,,,,2025-11-08T21:13:00.000Z,,
,,,72,,,,,2025-11-08T21:14:00.000Z,,
,,,8,,,,,2025-11-08T21:15:00.000Z,,
,,,,,,,94,2025-11-08T21:16:00.000Z,26384,
,,,40,,,,,2025-11-08T21:16:00.000Z,,
,,,,,,,103,2025-11-08T21:17:00.000Z,26444,
105,3.615350037958028e-39,,128,0,,,,2025-11-08T21:17:00.000Z,26444,
,,,,,,,100,2025-11-08T21:18:00.000Z,26504,
,,,,,,,92,2025-11-08T21:19:00.000Z,26564,
